# word	lang_code	lang_name	definition_en	definition_lang	glyph_string
balance	mr	Marathi	balance	शिल्लक	▼✫◒☽◌♣✦◕○✬✸✰✧△✭●○✬✦◕◈✾✯✷✹☯⚚✼✫▼⚜✻◌♣☽◒✿◇✬○●✭✽⚛✶✮◇✿✮✶☽◒✫▼◇✿☯✹⚜✻◉♡✧△
balance	gu	Gujarati	balance	સંતુલન	✷✯⚜✻⚚✼◕✦✿◇◒☽☆◐♤◎♤◎✽⚛◌♣☀◔◕✦✯✷☽◒◈✾✹☯◇✿☯✹◎♤✫▼✧△☆◐★◍⚜✻◎♤⚚✼✶✮☼◓▼✫✸✰✶✮
balance	fa	Persian	balance	تعادل	◎♤○✬◇✿◌♣✻⚜◓☼✺⚝✾◈⚜✻◈✾▲✩⚜✻♡◉✧△◍★◑☾✺⚝◕✦♠◆△✧✽⚛◆♠●✭◐☆✶✮☆◐✺⚝✹☯⚛✽♡◉◓☼△✧
balance	iw	Hebrew	balance	לְאַזֵן	☽◒◕✦♠◆✽⚛☆◐♣◌◎♤◐☆★◍☯✹✽⚛✧△◐☆◇✿☼◓☾◑△✧✹☯✾◈✶✮◎♤✭●◓☼✰✸♣◌✽⚛✸✰☾◑✶✮◆♠▽✪▽✪
balance	nl	Dutch	balance	evenwicht	☾◑✸✰☯✹◈✾☾◑✻⚜✫▼♤◎⚚✼♠◆☆◐◇✿☾◑▼✫⚛✽✭●◆♠◎♤◈✾◆♠◌♣◔☀✰✸✰✸◆♠✯✷▲✩✮✶◆♠✸✰✩▲✷✯
balance	sv	Swedish	balance	balans	✫▼✷✯⚚✼◈✾◍★◑☾✼⚚◒☽⚚✼◐☆✩▲✬○⚝✺✬○◇✿△✧✺⚝✶✮✽⚛◇✿⚛✽◑☾✶✮✷✯✿◇⚛✽✿◇◕✦◇✿◈✾◕✦✶✮
balance	no	Norwegian	balance	balansere	✽⚛✼⚚✶✮☾◑✫▼△✧☀◔⚛✽✧△◉♡☯✹✿◇✩▲✬○○✬◐☆✪▽◆♠✦◕●✭☆◐☼◓☽◒✽⚛⚜✻✭●★◍✫▼◕✦⚜✻△✧◕✦
balance	da	Danish	balance	balance	♠◆◕✦✸✰♠◆★◍♡◉✾◈◈✾◌♣◕✦⚛✽◐☆♡◉☯✹◓☼☾◑☼◓✯✷♡◉☀◔▼✫♠◆✿◇✭●★◍✮✶✸✰☼◓✩▲▼✫◉♡☾◑
balance	fi	Finnish	balance	saldo	●✭✸✰☽◒◌♣⚜✻⚛✽○✬✺⚝✻⚜◍★▽✪✩▲◔☀✯✷◒☽✾◈✧△◇✿✿◇⚛✽✬○▲✩◆♠◈✾◍★○✬△✧✩▲☀◔☾◑✺⚝☆◐
balance	cs	Czech	balance	váhy	☆◐◕✦✶✮✿◇✰✸♣◌☯✹☆◐✹☯◈✾◕✦✪▽☾◑◌♣◔☀◕✦⚜✻✭●✶✮✶✮◉♡✫▼✾◈✻⚜◉♡◔☀✩▲☆◐✾◈✻⚜✬○✩▲
balance	ro	Romanian	balance	echilibru	★◍◕✦⚝✺♠◆◐☆✭●◕✦★◍◓☼●✭✦◕◎♤☽◒✭●✶✮✦◕◈✾✪▽◐☆△✧✸✰✪▽✶✮♡◉⚛✽◉♡◒☽◌♣☀◔✸✰✿◇✫▼
balance	hu	Hungarian	balance	egyensúly	✽⚛◌♣◑☾☾◑▲✩♡◉▽✪♡◉✹☯✪▽✽⚛✫▼◇✿✾◈●✭✸✰✶✮◕✦☆◐✪▽▼✫◆♠◆♠▲✩⚝✺✷✯○✬♤◎✽⚛▼✫◎♤✯✷
balance	el	Greek	balance	ισορροπία	☯✹✹☯◇✿▽✪✷✯✻⚜✺⚝✪▽✸✰✿◇✫▼✭●○✬◉♡◌♣✫▼▼✫◆♠◔☀◐☆♡◉△✧✭●✫▼◓☼✰✸☼◓●✭○✬◇✿✭●✬○
balance	sr	Serbian	balance	баланс	✮✶✪▽✦◕✼⚚◈✾△✧◐☆✿◇✸✰♣◌✹☯✶✮✽⚛✩▲◉♡◆♠▼✫◈✾◌♣◌♣△✧✾◈✿◇◍★✻⚜◒☽☽◒◈✾◉♡✷✯✾◈✿◇
balance	hr	Croatian	balance	ravnoteža	✼⚚◍★◎♤♡◉✬○★◍◆♠✫▼✼⚚◓☼◌♣✩▲✯✷★◍◈✾✩▲⚛✽✺⚝✩▲✹☯✰✸☆◐◒☽✫▼✬○✦◕✹☯⚛✽⚜✻✰✸▽✪⚝✺
balance	bg	Bulgarian	balance	баланс	○✬✽⚛✫▼★◍✧△★◍☀◔◎♤◕✦✿◇◍★✶✮⚜✻✸✰▲✩✮✶◇✿⚝✺◌♣★◍♡◉▲✩★◍✩▲◐☆✯✷♠◆⚝✺✹☯◔☀▼✫◔☀
balance	sk	Slovak	balance	rovnováhu	◔☀✷✯☼◓◆♠◑☾✮✶✬○✬○♣◌◔☀✬○◐☆✹☯♠◆☯✹♡◉◒☽△✧✮✶✭●✬○✻⚜▽✪✬○✬○✿◇☼◓✪▽◐☆✮✶◐☆✿◇
balance	sl	Slovenian	balance	ravnovesje	✻⚜✿◇◔☀♡◉✶✮☆◐⚛✽◐☆✿◇✸✰⚚✼☀◔✮✶☼◓✬○☆◐◈✾◈✾✬○⚚✼✺⚝◍★✫▼✬○⚝✺◌♣⚝✺◇✿◆♠✩▲⚛✽▲✩
balance	et	Estonian	balance	tasakaalu	●✭◔☀✧△✯✷✮✶✧△✸✰✶✮▲✩✷✯✶✮⚜✻✬○▲✩✦◕✫▼◈✾◈✾✮✶♡◉✪▽◉♡✧△☼◓○✬★◍✰✸✶✮☽◒♤◎♡◉◆♠
balance	lv	Latvian	balance	līdzsvaru	♠◆▲✩◑☾△✧☽◒✬○✦◕✻⚜◍★✮✶✬○★◍◌♣✪▽☾◑✰✸✶✮⚜✻◈✾★◍☯✹✪▽◈✾♣◌◓☼✮✶●✭☀◔✸✰✪▽◎♤●✭
balance	lt	Lithuanian	balance	pusiausvyrą	✻⚜★◍✪▽✺⚝⚝✺☾◑♠◆✰✸✭●⚚✼✪▽★◍◌♣◌♣✬○♣◌⚚✼✷✯☆◐✫▼✩▲✭●✪▽✽⚛⚚✼△✧♤◎⚛✽◆♠⚜✻○✬◆♠
balance	sw	Swahili	balance	mizani	✬○✰✸✼⚚♠◆✪▽◇✿◆♠✽⚛✸✰✶✮◑☾◓☼✦◕○✬✷✯▼✫⚝✺✺⚝▼✫☾◑✮✶○✬♣◌✹☯✾◈◍★✧△✧△◑☾▽✪◈✾◉♡
balance	zu	Zulu	balance	ukuzimelela	◑☾✻⚜▽✪◐☆✭●✫▼★◍◔☀✰✸△✧✰✸✹☯✫▼✩▲♠◆☼◓○✬☾◑✬○◓☼◈✾✮✶✻⚜◉♡✫▼◕✦◇✿☽◒✫▼✾◈♡◉◒☽
balance	af	Afrikaans	balance	balans	☀◔◑☾✿◇♠◆☆◐✾◈◐☆♣◌✦◕☼◓✦◕◇✿✺⚝✶✮●✭◑☾◇✿●✭▲✩▼✫☼◓⚚✼●✭○✬◕✦◔☀▼✫✩▲◈✾▲✩★◍✬○
balance	yo	Yoruba	balance	iwọntunwọnsi	♠◆☾◑⚛✽✭●◓☼✩▲◉♡✧△✮✶◓☼◌♣✹☯✹☯⚝✺☼◓♣◌●✭♣◌▽✪✬○★◍▲✩✫▼◔☀☯✹⚜✻✦◕♤◎✫▼◆♠✷✯☆◐
balance	ig	Igbo	balance	itule	⚝✺⚜✻✪▽●✭✺⚝⚝✺◍★☾◑✯✷◔☀♤◎☼◓✯✷✯✷✬○✭●▽✪✹☯✷✯▽✪✰✸◒☽▽✪◕✦✫▼✾◈✹☯◐☆★◍☽◒✪▽✭●
balance	am	Amharic	balance	ሚዛን	✺⚝✷✯⚝✺◆♠♡◉✫▼♠◆◆♠⚜✻⚚✼♡◉◆♠⚛✽◆♠✶✮⚚✼♡◉✷✯⚜✻▼✫✯✷⚚✼♣◌✦◕✽⚛✺⚝◓☼⚝✺✹☯◍★★◍✰✸
balance	sq	Albanian	balance	ekuilibër	●✭✼⚚✾◈✪▽♤◎✾◈◌♣⚝✺☾◑✮✶⚝✺✪▽✦◕✽⚛✭●✪▽☀◔✺⚝⚚✼⚜✻★◍◈✾◉♡▼✫◓☼♡◉☼◓○✬✾◈✰✸✭●✾◈
balance	az	Azerbaijani	balance	tarazlıq	✺⚝◔☀○✬☆◐◇✿✭●✿◇✫▼◆♠♤◎▼✫✷✯◆♠⚚✼✧△✭●✭●✿◇●✭✬○⚜✻♤◎⚛✽✽⚛♤◎⚝✺◐☆✰✸✻⚜◒☽☀◔✫▼
balance	eu	Basque	balance	oreka	☯✹☯✹✪▽☯✹✬○◎♤✶✮✺⚝○✬✩▲✬○♤◎✻⚜⚝✺✼⚚⚛✽✩▲✻⚜☀◔✬○⚛✽◒☽✦◕✶✮✯✷☀◔✦◕◎♤♡◉✯✷✸✰♠◆
balance	be	Belarusian	balance	баланс	◎♤◓☼✩▲✯✷◈✾✩▲✯✷☯✹⚝✺☽◒♤◎✯✷♡◉✫▼▽✪☾◑☼◓✾◈▲✩✫▼★◍✼⚚◆♠✰✸●✭✸✰✺⚝☆◐⚝✺◍★⚜✻✰✸
balance	bs	Bosnian	balance	balans	✺⚝✯✷◔☀○✬✹☯✯✷✻⚜✸✰◒☽✭●✹☯✼⚚♡◉●✭▼✫◈✾◉♡◈✾◉♡☾◑◒☽◓☼◓☼✫▼✶✮✽⚛⚚✼○✬♡◉◌♣✽⚛●✭
balance	ca	Catalan	balance	equilibri	✷✯◇✿◓☼★◍✯✷✯✷✽⚛✿◇◆♠☾◑☽◒☼◓✷✯★◍☯✹◎♤▽✪◆♠♠◆✦◕⚜✻✬○✻⚜◇✿✫▼✪▽◉♡◒☽◔☀✭●◌♣♤◎
balance	eo	Esperanto	balance	ekvilibro	☀◔◍★△✧◉♡☀◔○✬✭●◒☽✭●☾◑☼◓✻⚜✽⚛◔☀▲✩☆◐✩▲▽✪◉♡☆◐✹☯✾◈✬○◒☽●✭◑☾✸✰⚛✽⚝✺♤◎◒☽☯✹
balance	tl	Filipino	balance	balansehin	✮✶◇✿✩▲✰✸✯✷✰✸◕✦♣◌✦◕◐☆◒☽◉♡◉♡✺⚝☼◓▲✩☯✹◍★✰✸✾◈◈✾☯✹☾◑✭●⚛✽◉♡△✧◍★◎♤☀◔⚚✼✦◕
balance	gl	Galician	balance	equilibrio	✦◕★◍◆♠★◍☯✹✷✯✽⚛◇✿✦◕◉♡△✧✫▼★◍⚚✼○✬◌♣✭●✫▼◑☾◕✦◆♠✧△✰✸◑☾✦◕☼◓◕✦◔☀✯✷✪▽✭●✶✮
balance	ka	Georgian	balance	ბალანსი	✯✷✸✰✼⚚✾◈△✧◉♡♣◌★◍◇✿✩▲✭●✩▲▲✩○✬⚛✽✺⚝✪▽♠◆✯✷★◍✿◇⚝✺✫▼★◍●✭◕✦✿◇◇✿✺⚝✸✰✶✮✸✰
balance	is	Icelandic	balance	jafnvægi	♤◎✰✸☀◔⚛✽♣◌★◍▼✫◌♣◍★✽⚛☾◑◐☆✰✸✧△✯✷✰✸✸✰○✬◑☾✰✸⚝✺✼⚚✪▽◔☀✮✶◕✦✾◈☾◑☆◐✩▲◎♤⚚✼
balance	ga	Irish	balance	cothromaíocht	●✭◈✾△✧✧△♤◎▽✪▲✩✺⚝✯✷✻⚜☀◔✮✶⚛✽✰✸☾◑✾◈◐☆☀◔◇✿♠◆▼✫♤◎◔☀▽✪◑☾◈✾✰✸◒☽◆♠✾◈●✭⚝✺
balance	jw	Javanese	balance	Balance	✭●☯✹♣◌✭●△✧✫▼✽⚛✩▲◓☼◌♣◇✿☆◐♣◌▼✫✦◕◓☼⚝✺▲✩◌♣⚛✽☯✹✰✸♡◉▲✩✰✸★◍◈✾✮✶★◍⚝✺◍★✯✷
balance	kn	Kannada	balance	ಸಮತೋಲನ	◑☾✽⚛✹☯♣◌✺⚝✷✯▲✩✫▼○✬◍★▲✩☆◐✻⚜✬○✦◕◇✿☽◒✫▼✼⚚☀◔✼⚚◇✿♠◆✿◇◉♡✬○✰✸◈✾◌♣✭●▼✫✧△
balance	kk	Kazakh	balance	баланс	◒☽●✭▼✫⚛✽✰✸◈✾◓☼✪▽✻⚜✦◕✪▽⚝✺◒☽◈✾◎♤☆◐✬○☆◐✿◇✮✶✦◕☀◔☾◑◎♤♠◆✿◇☼◓✸✰⚜✻◎♤△✧◑☾
balance	km	Khmer	balance	លមនឹង	⚚✼△✧✰✸✪▽▽✪♠◆☀◔♤◎●✭◎♤✬○◐☆✹☯✷✯✫▼♡◉◎♤✩▲◈✾●✭✭●◇✿✸✰○✬⚛✽▼✫♤◎☾◑◓☼⚝✺✼⚚○✬
balance	lo	Lao	balance	ຕົບ	☽◒✮✶☀◔✽⚛☽◒✽⚛✦◕✬○✻⚜☾◑◌♣◍★♡◉☯✹★◍✪▽✾◈✸✰☯✹✷✯✰✸✦◕◑☾▼✫◉♡✽⚛⚝✺✼⚚✻⚜●✭✼⚚⚚✼
balance	la	Latin	balance	statera	◆♠☽◒☯✹✰✸✿◇✮✶✩▲✫▼⚚✼✬○✧△✬○◐☆♣◌✾◈⚚✼◉♡◉♡✰✸⚚✼⚜✻☯✹♡◉◈✾◎♤♠◆✭●◈✾◑☾◈✾♡◉◌♣
balance	mk	Macedonian	balance	рамнотежа	◉♡⚝✺✷✯✸✰✪▽☽◒▲✩✧△✫▼♤◎☼◓⚚✼○✬✩▲◈✾☯✹✰✸◌♣✮✶✾◈♣◌◔☀⚚✼▽✪◉♡✮✶◆♠✺⚝★◍✺⚝✩▲☼◓
balance	mg	Malagasy	balance	Mila mahay mandanjalanja	♠◆☼◓✬○♣◌⚛✽☾◑✭●☆◐♠◆✧△★◍⚚✼★◍♣◌✿◇⚜✻✻⚜◐☆✯✷☼◓✮✶▽✪✸✰☯✹✫▼▲✩⚜✻✿◇☾◑★◍◑☾●✭
balance	ml	Malayalam	balance	ബാലൻസ്	✦◕✸✰⚝✺◔☀◎♤♤◎✬○✬○◇✿♠◆⚚✼⚛✽☆◐◐☆☀◔☯✹☽◒⚜✻▲✩▽✪✾◈✸✰♡◉♡◉✧△△✧✺⚝✧△◈✾✷✯✪▽✩▲
balance	mt	Maltese	balance	bilanċ	◆♠◈✾◕✦✩▲✭●✯✷✬○✫▼✻⚜✶✮△✧▼✫✩▲☆◐✻⚜◓☼⚚✼♣◌★◍◐☆✪▽▼✫✹☯✸✰✰✸◍★✸✰◐☆☼◓⚝✺☆◐⚛✽
balance	mi	Maori	balance	toenga	☼◓◑☾✧△✧△♠◆✯✷✪▽▼✫✪▽◎♤●✭☼◓⚝✺✸✰♣◌★◍♠◆✭●✫▼⚜✻✭●◒☽✩▲✺⚝✼⚚◆♠♣◌◑☾✬○★◍✩▲☆◐
balance	mn	Mongolian	balance	тэнцвэр	✦◕▽✪◉♡♣◌♠◆◉♡✩▲☾◑△✧△✧★◍○✬◑☾✶✮✪▽⚛✽✻⚜⚝✺◍★◉♡☽◒⚜✻△✧✦◕♤◎◔☀☼◓⚝✺✷✯✰✸◕✦✦◕
balance	my	Myanmar (Burmese)	balance	လက်ကျန်ငေှ	◇✿☾◑◕✦◑☾○✬○✬☽◒☯✹☽◒✺⚝◓☼◕✦✫▼✯✷✿◇◕✦✾◈✬○◌♣◆♠◐☆▼✫☯✹✬○✬○⚚✼◕✦☀◔✶✮◈✾◑☾▲✩
balance	ne	Nepali	balance	सन्तुलन	☾◑♠◆✰✸☼◓✼⚚✾◈◆♠✪▽✧△✩▲✬○◕✦●✭✽⚛✾◈✬○◒☽☆◐☀◔✧△⚜✻◆♠✶✮◐☆☀◔✪▽◈✾✪▽✷✯⚛✽☾◑⚜✻
balance	or	Odia	balance	ସନ୍ତୁଳନ	✩▲◓☼✾◈◓☼✰✸♡◉◍★✧△▲✩✼⚚♠◆✶✮✫▼☼◓◕✦○✬◉♡⚚✼♡◉★◍⚝✺⚛✽✫▼⚜✻◕✦◒☽☆◐☀◔✽⚛◈✾✿◇☽◒
balance	ps	Pashto	balance	توازن	✯✷✪▽♠◆♤◎☀◔✦◕♤◎◌♣✬○◕✦☀◔♣◌✬○◎♤✬○✬○✧△○✬♠◆✻⚜△✧✦◕◒☽✯✷✻⚜✶✮◑☾◓☼♡◉✮✶☀◔✹☯
balance	pa	Punjabi	balance	ਸੰਤੁਲਨ	✪▽☼◓☽◒✺⚝◍★▲✩♤◎✯✷▽✪✬○◐☆▽✪✾◈✯✷⚚✼✿◇✹☯◉♡★◍○✬⚚✼◑☾◆♠✸✰✺⚝✶✮♤◎✼⚚△✧✸✰☼◓✶✮
balance	sm	Samoan	balance	paleni	☯✹◉♡♤◎✧△✹☯✫▼✺⚝◌♣✯✷✿◇◕✦△✧☾◑◒☽◓☼◍★✬○△✧◕✦✩▲✸✰♤◎✻⚜✦◕♠◆✶✮▼✫☀◔✮✶☾◑✬○♡◉
balance	gd	Scots Gaelic	balance	cothromachadh	✮✶◑☾★◍◍★◔☀☆◐✭●◒☽✹☯✬○◌♣▽✪◒☽☯✹○✬☆◐♤◎▼✫☼◓✩▲◓☼◌♣✹☯☆◐⚛✽☀◔✹☯◍★✭●✮✶✯✷◉♡
balance	st	Sesotho	balance	Balance	◐☆✰✸●✭✹☯✯✷✪▽▽✪✻⚜◆♠☀◔✪▽✮✶☼◓✷✯◓☼☽◒◔☀♣◌☼◓◉♡◉♡●✭✺⚝▽✪◓☼◉♡✩▲✪▽⚚✼▲✩✼⚚☼◓
balance	sn	Shona	balance	Balance	♤◎✰✸✧△⚝✺♠◆◕✦⚛✽✪▽✶✮✶✮☼◓✰✸△✧✿◇◒☽◆♠◑☾☼◓○✬⚝✺✺⚝◎♤✺⚝✷✯◇✿✧△⚚✼☆◐○✬✭●✹☯✷✯
balance	sd	Sindhi	balance	توازن	♣◌✧△☆◐✰✸▲✩✯✷◉♡♣◌✿◇✪▽⚝✺◉♡♤◎☼◓♡◉☯✹◆♠●✭☆◐✼⚚✷✯✯✷⚚✼✰✸✻⚜◈✾◇✿▼✫◆♠✸✰♤◎◍★
balance	si	Sinhala	balance	ශේෂය	◈✾✯✷△✧✽⚛☆◐◍★✩▲♣◌⚜✻✹☯✯✷☾◑⚛✽✻⚜✰✸▼✫✺⚝✫▼✸✰✺⚝☾◑✸✰✰✸⚜✻✰✸◍★✰✸◐☆✭●☀◔◑☾☽◒
balance	so	Somali	balance	isku qiyaasidda	✭●♡◉▲✩✧△✧△✯✷✰✸◓☼☽◒▽✪✹☯✾◈◍★☾◑◈✾✭●★◍▽✪♣◌◈✾✽⚛◇✿◉♡★◍✹☯☯✹☽◒◌♣▲✩✹☯✶✮⚝✺
balance	su	Sundanese	balance	kasaimbangan	♣◌☆◐✸✰◐☆✻⚜△✧⚜✻◐☆♣◌✽⚛✶✮✯✷◉♡✿◇☽◒⚛✽☀◔✰✸✮✶✾◈✪▽◔☀✯✷◍★✬○◈✾✻⚜✻⚜◑☾✸✰✼⚚♠◆
balance	tg	Tajik	balance	мувозинат	✪▽△✧✽⚛✽⚛✼⚚◓☼◇✿◔☀☆◐◓☼✽⚛○✬✬○○✬✬○✧△✹☯☯✹✺⚝⚝✺♠◆✧△●✭☾◑◓☼☀◔✰✸♤◎✻⚜✾◈☆◐⚝✺
balance	tt	Tatar	balance	баланс	◓☼◈✾▼✫◔☀✯✷◇✿◓☼◕✦✭●▼✫◎♤✧△◉♡☽◒✧△✰✸☾◑♡◉☀◔✩▲☆◐◐☆✧△✩▲✭●✺⚝◇✿◎♤♤◎◈✾▽✪✸✰
balance	tk	Turkmen	balance	deňagramlylygy	○✬△✧⚛✽✩▲✸✰✪▽✧△✸✰☽◒◆♠☀◔♤◎☆◐✷✯▽✪✿◇✦◕⚛✽◐☆✷✯♡◉✺⚝◉♡▽✪✪▽✩▲✩▲✽⚛☯✹✬○✧△☆◐
balance	ur	Urdu	balance	توازن	◈✾◔☀⚛✽☽◒✦◕◕✦✻⚜✸✰☼◓◉♡✯✷☾◑◕✦✻⚜◇✿☆◐◍★♡◉♣◌✬○◎♤✪▽✩▲☾◑☀◔♠◆☾◑♡◉▼✫♤◎△✧⚛✽
balance	ug	Uyghur	balance	تەڭپۇڭلۇق	✺⚝◈✾✮✶⚛✽○✬✩▲◔☀☆◐▲✩✧△✽⚛♣◌✾◈▲✩◍★◉♡⚛✽◍★◈✾✮✶◑☾✯✷☀◔◒☽✹☯✷✯⚝✺◓☼♤◎✩▲⚝✺✿◇
balance	uz	Uzbek	balance	qoldiq	☯✹♠◆◕✦✾◈✸✰✭●✺⚝☀◔✦◕✼⚚✪▽✪▽✮✶✮✶☆◐◇✿◆♠⚜✻☾◑⚚✼✺⚝◒☽★◍✬○♤◎✶✮✩▲⚛✽♡◉◔☀✾◈✮✶
